Date,Ventes_prévues,Période_dattes,Effet_Ramadan,Poids_dattes
2025-10-06,172.19,True,Éloigné,1.0833333333333333
2025-10-07,173.11,True,Éloigné,1.1
2025-10-08,174.42,True,Éloigné,1.1166666666666667
2025-10-09,177.01,True,Éloigné,1.1333333333333333
2025-10-10,178.46,True,Éloigné,1.15
2025-10-11,183.83,True,Éloigné,1.1666666666666667
2025-10-12,187.77,True,Éloigné,1.1833333333333333
2025-10-13,191.16,True,Éloigné,1.2
2025-10-14,193.66,True,Éloigné,1.2166666666666668
2025-10-15,196.04,True,Éloigné,1.2333333333333334
2025-10-16,197.58,True,Éloigné,1.25
2025-10-17,200.54,True,Éloigné,1.2666666666666666
2025-10-18,203.54,True,Éloigné,1.2833333333333332
2025-10-19,206.92,True,Éloigné,1.3
2025-10-20,209.78,True,Éloigné,1.3166666666666667
2025-10-21,211.9,True,Éloigné,1.3333333333333333
2025-10-22,214.88,True,Éloigné,1.35
2025-10-23,218.05,True,Éloigné,1.3666666666666667
2025-10-24,218.83,True,Éloigné,1.3833333333333333
2025-10-25,220.51,True,Éloigné,1.4
2025-10-26,224.03,True,Éloigné,1.4166666666666667
2025-10-27,228.19,True,Éloigné,1.4333333333333333
2025-10-28,231.05,True,Éloigné,1.45
